,Company_name,Bar_origin,Ref,Review_date,Cocoa_percentage,Company_location,Rating,Bean_origin
28,Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Fiji
29,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Ecuador
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Ecuador
31,Ah Cacao,Tabasco,316,2009,70%,Mexico,3.0,Mexico
32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Indonesia
33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Madagascar
34,Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Brazil
35,Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinidad
36,Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Vietnam
37,Alain Ducasse,Madagascar,1215,2014,75%,France,3.0,Madagascar
38,Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Venezuela
39,Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5,Peru
40,Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Ecuador
41,Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,Nicaragua
42,Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Vietnam
43,Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Tanzania
44,Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75,Nicaragua
45,Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.0,Peru
46,Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5,Bolivia
47,Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5,Peru
48,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75,Ecuador
49,Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5,Venezuela
50,Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.0,Dominican Republic
51,Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25,Bolivia
52,Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.0,Bolivia
53,Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25,Peru
54,Amano,Morobe,725,2011,70%,U.S.A.,4.0,Papua New Guinea
55,Amano,Dos Rios,470,2010,70%,U.S.A.,3.75,Dominican Republic
56,Amano,Guayas,470,2010,70%,U.S.A.,4.0,Ecuador
57,Amano,Chuao,544,2010,70%,U.S.A.,3.0,Venezuela
58,Amano,Montanya,363,2009,70%,U.S.A.,3.0,Venezuela
59,Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75,Indonesia
60,Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Madagascar
61,Amano,Cuyagua,147,2007,70%,U.S.A.,3.0,Venezuela
62,Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Venezuela
63,Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3.0,Ghana
64,Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75,Ecuador
65,Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75,Ecuador
66,Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.0,Ghana
67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25,Peru
68,Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Peru
69,Ambrosia,Belize,1494,2015,64%,Canada,3.0,Belize
70,Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Madagascar
71,Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25,Dominican Republic
72,Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,Papua New Guinea
73,Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,Venezuela
74,Ambrosia,Peru,1498,2015,68%,Canada,3.5,Peru
75,Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,Peru
76,Amedei,Porcelana,111,2007,70%,Italy,4.0,Venezuela
77,Amedei,Nine,111,2007,75%,Italy,4.0,nan
78,Amedei,Chuao,111,2007,70%,Italy,5.0,Venezuela
79,Amedei,Ecuador,123,2007,70%,Italy,3.0,Ecuador
80,Amedei,Jamaica,123,2007,70%,Italy,3.0,Jamaica
81,Amedei,Grenada,123,2007,70%,Italy,3.5,Grenada
82,Amedei,Venezuela,123,2007,70%,Italy,3.75,Venezuela
83,Amedei,Madagascar,123,2007,70%,Italy,4.0,Madagascar
84,Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinidad
85,Amedei,Toscano Black,170,2007,63%,Italy,3.5,nan
86,Amedei,Toscano Black,40,2006,70%,Italy,5.0,nan
87,Amedei,Toscano Black,75,2006,66%,Italy,4.0,nan
88,AMMA,Catongo,1065,2013,75%,Brazil,3.25,Brazil
89,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Brazil
90,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Brazil
91,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Brazil
92,AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Brazil
93,Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0,Dominican Republic
94,Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,Bolivia
95,Ara,Madagascar,1375,2014,75%,France,3.0,Madagascar
96,Ara,Chiapas,1379,2014,72%,France,2.5,Mexico
97,Ara,Equateur,1379,2014,75%,France,2.75,Ecuador
98,Ara,Trincheras,1379,2014,75%,France,3.0,Venezuela
99,Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinidad
100,Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,Tanzania
101,Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Vietnam
102,Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,Ecuador
103,Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,Ecuador
104,Arete,Lachua,1904,2016,70%,U.S.A.,3.5,Guatemala
105,Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,Nicaragua
106,Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5,Honduras
107,Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.0,Costa Rica
108,Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Peru
109,Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,Dominican Republic
110,Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,Fiji
111,Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,Vietnam
112,Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,Brazil
113,Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Peru
114,Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Ecuador
115,Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,Domincan Republic
116,Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Belize
117,Arete,Chuno,1598,2015,70%,U.S.A.,4.0,Nicaragua
118,Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,Brazil
119,Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,Guatemala
120,Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,Ecuador
121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinidad
122,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75,Colombia
123,Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0,Haiti
124,Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,Panama
125,Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,Venezuela
126,Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Jamaica
127,Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,Costa Rica
128,Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Vietnam
129,Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,Indonesia
130,Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,Venezuela
131,Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Indonesia
132,Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,Brazil
133,Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,Madagascar
134,Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Peru
135,Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Dominican Republic
136,Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Congo
137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Colombia
138,Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Tanzania
139,Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Tanzania
140,Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Honduras
141,Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Philippines
142,Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Mexico
143,Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Ecuador
144,Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25,nan
145,Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,Papua New Guinea
146,Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Madagascar
147,Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,Brazil
148,Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,nan
149,Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75,Peru
150,Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5,Peru
151,Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,Brazil
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Peru
153,Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,Dominican Republic
154,Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,Mexico
155,Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Madagascar
156,Baravelli's,single estate,955,2012,80%,Wales,2.75,Costa Rica
157,Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5,Domincan Republic
158,Batch,Brazil,1868,2016,70%,U.S.A.,3.75,Brazil
159,Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,Ecuador
160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0,Malaysia
161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25,Malaysia
162,Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75,Brazil
163,Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75,Domincan Republic
164,Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75,Ecuador
165,Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,Ecuador
166,Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,Costa Rica
167,Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,Papua New Guinea
168,Belcolade,Peru,586,2010,64%,Belgium,2.75,Peru
169,Belcolade,Ecuador,586,2010,71%,Belgium,3.5,Ecuador
170,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,Tanzania
171,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25,Bolivia
172,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5,Domincan Republic
173,Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Belize
174,Belyzium,Belize south,1768,2016,78%,Germany,3.0,Belize
175,Belyzium,Belize south,1768,2016,83%,Germany,3.5,Belize
176,Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Cuba
177,Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Venezuela
178,Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Venezuela
179,Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Ecuador
180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Indonesia
181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Madagascar
182,Bernachon,Nature,797,2012,55%,France,2.75,nan
183,Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3.0,Madagascar
184,Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3.0,Venezuela
185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5,Venezuela
186,Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.0,Ecuador
187,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Venezuela
188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Venezuela
189,Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5,Indonesia
190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5,Venezuela
191,Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5,Nicaragua
192,Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5,Costa Rica
193,Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5,Costa Rica
194,Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Belize
195,Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Ghana
196,Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25,Indonesia
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,"Dominican Rep., Bali"
198,Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75,Indonesia
199,Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3.0,Madagascar
200,Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3.0,Venezuela
201,Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.0,Dominican Republic
202,Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,Dominican Republic
203,Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Madagascar
204,Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Madagascar
205,Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Madagascar
206,Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,Panama
207,Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,Dominican Republic
208,Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.0,Ghana
209,Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,Dominican Republic
210,Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Venezuela
211,Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0,Nicaragua
212,Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Jamaica
213,Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Congo
214,Blanxart,Organic Dark,322,2009,72%,Spain,2.75,nan
215,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Madagascar
216,Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,Guatemala
217,Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,Tanzania
218,Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.0,Dominican Republic
219,Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,Guatemala
220,Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Madagascar
221,Bonnat,Selva Maya,1912,2016,75%,France,3.5,Mexico
222,Bonnat,Kaori,1339,2014,75%,France,4.0,Brazil
223,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25,Dominican Republic
224,Bonnat,Surfin,1418,2014,65%,France,3.75,"Venez,Africa,Brasil,Peru,Mex"
225,Bonnat,Maragnam,1038,2013,75%,France,3.5,Brazil
226,Bonnat,Gabon,1042,2013,75%,France,3.25,Gabon
227,Bonnat,Cuba,629,2011,75%,France,3.5,Cuba
228,Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5,Peru
229,Bonnat,Piura Blanco,629,2011,75%,France,3.5,Peru
230,Bonnat,Libanio,629,2011,75%,France,3.75,Brazil
231,Bonnat,Haiti,629,2011,75%,France,4.0,Haiti
232,Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4.0,Madagascar
233,Bonnat,Juliana,672,2011,75%,France,3.5,Brazil
234,Bonnat,Jamaique,761,2011,75%,France,3.25,Jamaica
235,Bonnat,Ivory Coast,331,2009,75%,France,3.0,Ivory Coast
236,Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Peru
237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3.0,Mexico
238,Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.0,Mexico
239,Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.0,Venezuela
240,Bonnat,Equateur,123,2007,75%,France,2.5,Ecuador
241,Bonnat,Trinite,24,2006,75%,France,3.75,Carribean
242,Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4.0,Venezuela
243,Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4.0,Venezuela
244,Bonnat,Madagascar,75,2006,75%,France,4.0,Madagascar
245,Bonnat,One Hundred,81,2006,100%,France,1.5,nan
246,Bonnat,Ceylan,81,2006,75%,France,3.0,Sri Lanka
247,Bonnat,Chuao,81,2006,75%,France,4.0,Venezuela
248,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Ecuador
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Ecuador
250,Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Belize
251,Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,Dominican Republic
252,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Venezuela
253,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75,Nicaragua
254,Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,Dominican Republic
255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Belize
256,Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4.0,Venezuela
257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.0,Dominican Republic
258,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25,Ecuador
259,Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Ghana
260,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Venezuela
261,Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3.0,Dominican Republic
262,Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25,Dominican Republic
263,Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5,Guatemala
264,Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75,Madagascar
265,Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Belize
266,Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25,Madagascar
267,Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3.0,Jamaica
268,Bright,Somia Plantation,1231,2014,72%,Australia,3.0,Madagascar
269,Bright,Marabel Farms,1231,2014,70%,Australia,3.5,Dominican Republic
270,Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5,Ecuador
271,Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinidad
272,Britarev,Ecuador,1638,2015,70%,Russia,3.25,Ecuador
273,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75,Dominican Republic
274,Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinidad
275,Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5,Ecuador
276,Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Belize
277,Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,nan
278,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5,Ecuador
279,Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5,Puerto Rico
280,Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Peru
281,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5,Dominican Republic
282,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75,Dominican Republic
283,Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25,Venezuela
284,Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,Haiti
285,Cacao Barry,Santo Domingo,586,2010,70%,France,3.0,Dominican Republic
286,Cacao Barry,Tanzania,300,2008,75%,France,2.0,Tanzania
287,Cacao Barry,Venezuela,141,2007,72%,France,2.0,Venezuela
288,Cacao Barry,Mexico,147,2007,66%,France,3.0,Mexico
289,Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Venezuela
290,Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Venezuela
291,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5,Venezuela
292,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25,Venezuela
293,Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Venezuela
294,Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Venezuela
295,Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25,Venezuela
296,Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75,Colombia
297,Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75,Colombia
298,Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75,Colombia
299,Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5,Colombia
300,Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5,Colombia
301,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75,Colombia
302,Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25,Colombia
303,Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Honduras
304,Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Dominican Republic
305,Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3.0,Dominican Republic
306,Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75,Dominican Republic
307,Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25,Dominican Republic
308,Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Congo
309,Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Madagascar
310,Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75,Ecuador
311,Cacao Sampaka,Papua,523,2010,71%,Spain,4.0,Papua New Guinea
312,Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Grenada
313,Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5,Venezuela
314,Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5,Venezuela
315,Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4.0,Mexico
316,Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4.0,Mexico
317,Cacao Store,Madagascar,1684,2015,70%,Japan,3.0,Madagascar
318,Cacao Store,Peru,1684,2015,70%,Japan,3.25,Peru
319,Cacao Store,Vietnam,1684,2015,70%,Japan,3.5,Vietnam
320,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25,Peru
321,Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Ecuador
322,Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Ecuador
323,Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Ecuador
324,Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Ecuador
325,Callebaut,Grenade,296,2008,60%,Belgium,2.75,Grenada
326,Callebaut,Baking,141,2007,70%,Belgium,1.0,Ecuador
327,C-Amaro,Cuba,1442,2014,75%,Italy,2.5,Cuba
328,C-Amaro,Dominican Republic,1442,2014,72%,Italy,3.0,Dominican Republic
329,C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,nan
